RMS_Ia,RMS_Ib,RMS_Ic,Peak_Ia,Peak_Ib,Peak_Ic,Std_Ia,Std_Ib,Std_Ic,Crest_Ia,Crest_Ib,Crest_Ic,THD_Ia,THD_Ib,THD_Ic,I0_Zero,I1_Pos,I2_Neg,Unbalance,Energy_a_D1,Energy_a_D2,Energy_a_D3,Energy_a_D4,Energy_a_D5,Energy_b_D1,Energy_b_D2,Energy_b_D3,Energy_b_D4,Energy_b_D5,Energy_c_D1,Energy_c_D2,Energy_c_D3,Energy_c_D4,Energy_c_D5,Entropy_D1_a,Entropy_D2_a,Entropy_D3_a,Entropy_D4_a,Entropy_D5_a,Var_D1_a,Var_D2_a,Var_D3_a,Var_D4_a,Var_D5_a,Std_D1_a,Std_D2_a,Std_D3_a,Std_D4_a,Std_D5_a,Load_Power,Fault_Percent,Scenario_ID,Label
13804.7087503357,13804.7197102922,13804.7082560467,19468.4552547113,19518.027796704,19514.191705919,13891.805566451,13891.8165971173,13891.805070719,1.41027642138686,1.41386628677091,1.4135895771192,11049757.4300566,16356987.5451645,37830081.4187365,0.00410493975498009,0.0507461310242075,0.0504113217703572,0.993402270338781,125471.212555614,40998217.1854251,394635812.519731,5049224764.9126,17872688228.4789,77631.88291917,19682951.5008269,115432756.165071,4040772559.03886,26542762871.5782,6622.80758101984,4203516.11879093,205332459.104727,2308085631.0133,26139090036.4854,2.4042759270099,2.3623100296618,1.98886198745625,2.88623326427944,2.36865787415927,2987.37861636951,1695958.14702214,25093732.2567137,504304076.07175,2233726981.49734,54.6569173698033,1302.28957878889,5009.36445636707,22456.7156118554,47262.320949117,12000000,0,55,0
13804.7084882331,13804.7177484953,13804.7082049399,19468.4512743973,19518.0257621323,19514.1953756369,13891.8053027767,13891.8146229895,13891.8050192888,1.41027615983285,1.41386634031396,1.41358984818339,8087141.49965977,4500680.09332961,10902997.1870124,0.0119660138477598,0.0882726956929244,0.147551175997195,1.67153812216728,125485.521181466,40998404.1875195,394636404.79424,5049223435.50728,17872689470.0681,77638.4728124562,19683055.0384617,115433202.932552,4040769184.42685,26542760884.4022,6624.69824344529,4203517.1152551,205332518.24851,2308085158.16621,26139089183.8671,2.40428872969941,2.36230849973821,1.98886027321736,2.88623328080777,2.36865781220712,2987.71865112401,1695966.00094948,25093767.8090394,504303942.575347,2233727136.71409,54.6600279100186,1302.29259421586,5009.36800495226,22456.7126395505,47262.322591194,12000000,0,55,0
13804.7085147604,13804.7176596004,13804.7083574441,19468.4459816601,19518.0142962263,19514.1953756369,13891.805329545,13891.8145335836,13891.805172743,1.41027577372198,1.41386551883968,1.41358983256709,11926453.6567358,7864566.87627084,10475139.7138183,0.0124311792465949,0.105879985605775,0.0420848460496019,0.397476877323134,125485.53020572,40998400.7150183,394636366.957548,5049224475.44722,17872687428.0314,77638.5788742888,19683054.1682999,115433111.319065,4040772794.41371,26542755780.8822,6624.70709067521,4203517.41041275,205332511.001452,2308085675.79126,26139091355.2993,2.40429050524855,2.36230874823823,1.98885975514362,2.88623321182933,2.36865784168698,2987.71883403694,1695965.91087781,25093766.6480453,504304047.384879,2233726881.31515,54.6600295832058,1302.2925596339,5009.36788906997,22456.7149731406,47262.3198892643,12000000,0,55,0
13804.709013607,13804.7199261881,13804.7080207377,19468.4423227287,19518.0142013126,19514.1923886106,13891.805831604,13891.8168144957,13891.8048339167,1.41027545771078,1.41386527982261,1.41358965066816,10884247.5732331,22163209.5934881,21117137.7866174,0.000272918354720392,0.0501273541076128,0.0515583638733999,1.02854748253249,125487.672357107,40998368.7261863,394636668.790074,5049224511.78888,17872689217.7008,77639.6119218422,19683029.0223178,115433092.097754,4040772516.26905,26542763563.9227,6625.2888512287,4203522.72415205,205332672.861132,2308085450.25179,26139089733.5397,2.40430780870256,2.36230890936182,1.98885894544922,2.88623332252957,2.36865784894533,2987.770127787,1695964.53696664,25093783.5909436,504304051.041882,2233727104.58381,54.6604987883114,1302.29203213666,5009.36958019107,22456.715054564,47262.3222512797,12000000,0,55,0
13804.711080596,13804.845143057,13804.9110554416,19468.4736377561,19518.0230906104,19514.2149425075,13891.8079098732,13891.9428218484,13892.0091467969,1.41027751497973,1.41385309928136,1.41357049416232,250471.11786767,129996.40463282,85669.6921232005,0.0358281757671122,6.34061398717384,6.76230546980466,1.06650641144278,126869.425105348,40989747.4156959,394743715.866326,5049268891.5766,17872700135.7105,75901.9972660786,19688595.5614017,115346158.166643,4040755746.86527,26542798908.9456,7611.11097575462,4200225.34455435,205528255.853026,2308202419.06994,26139179680.4676,2.40730205536564,2.36245296218364,1.98863340212619,2.88624837673916,2.36866521501513,3020.63246479408,1695644.27975072,25100558.9782358,504308780.821564,2233728334.46333,54.960280792533,1302.16906726842,5010.04580600176,22456.8203631227,47262.3352624828,12000000,0,56,0
13804.7086810602,13804.7205978986,13804.7080802612,19468.4693577251,19518.0263884988,19514.2126739395,13891.8054964738,13891.8174903593,13891.8048936638,1.41027745007292,1.41386609385415,1.41359111402306,13031303.2470634,7438464.05405459,4590453.37772216,0.014291871270795,0.124566080083505,0.115385614728191,0.926300439500384,125485.597225149,40998397.2139039,394636359.121369,5049223604.96206,17872689272.5474,77639.0120917753,19683034.8272673,115432979.84191,4040771036.72709,26542766653.3029,6624.95187027778,4203510.20421707,205332498.648549,2308085536.23211,26139092514.5525,2.40428829794276,2.362308571501,1.98885980956726,2.88623334954879,2.36865782755907,2987.72113969473,1695965.48346946,25093764.9056501,504303960.177226,2233727111.94828,54.6600506740959,1302.29239553545,5009.36771515628,22456.7130314573,47262.3223291903,12000000,0,56,0
13804.7086924828,13804.7204786776,13804.7083422611,19468.46634152,19518.0263884988,19514.2041465285,13891.8055080356,13891.8173703697,13891.8051573663,1.41027723041496,1.41386610606465,1.4135904694769,11017552.3994846,15573851.3219703,32432058.5641333,0.019876766085972,0.0384049604973509,0.0595137425786055,1.54963686481881,125467.375447773,40998234.7222333,394635475.281097,5049224617.51028,17872688174.29,77620.2626079336,19683006.9130683,115432216.9482,4040772490.40607,26542763045.6273,6622.75816355159,4203514.19609166,205332450.507442,2308085600.91178,26139090704.4605,2.40426725857907,2.36230965177918,1.98886270251444,2.88623321763205,2.3686578505429,2987.28733747227,1695958.77388775,25093710.9367866,504304060.434723,2233726975.16749,54.6560823465446,1302.28981946714,5009.36232835942,22456.7152636961,47262.3208821519,12000000,0,56,0
13804.708922118,13804.7199989878,13804.707928831,19468.4621805554,19518.0243770818,19514.2020730604,13891.8057391952,13891.8168876675,13891.8047413453,1.4102769055393,1.41386600948899,1.41359036161172,10533467.4310815,20895600.036778,20542069.2864435,0.00309291803702907,0.049736830194325,0.0554559801189041,1.11498822707908,125485.692961081,40998400.1082391,394636338.805767,5049224422.08767,17872689253.2757,77638.7291067849,19683060.17069,115433053.595358,4040772597.2827,26542763980.2743,6625.05730677316,4203541.56875323,205332675.306241,2308085435.45376,26139089340.7835,2.40430281121976,2.362308626747,1.98885959211828,2.88623327825823,2.36865783812434,2987.72303856636,1695965.76427228,25093762.6257585,504304041.12844,2233727109.57325,54.6600680439236,1302.29250334642,5009.36748759347,22456.7148338407,47262.3223040642,12000000,0,56,0
13804.7087383544,13804.7196982348,13804.7081985203,19468.4580873448,19518.027796704,19514.2000168256,13891.8055543329,13891.8165849996,13891.8050127857,1.41027662780414,1.41386628800581,1.41359018504407,13354695.9605599,7171680.74832217,4729340.43327359,0.00388063311287021,0.107057408277294,0.129939261884817,1.21373442506898,125485.589188655,40998400.9389229,394636337.857983,5049223649.5046,17872689514.7882,77638.8683082164,19683062.8279841,115433037.136768,4040771561.09791,26542762591.6285,6624.87596112006,4203511.22419111,205332524.963071,2308085612.52759,26139093082.5445,2.40429278008312,2.36230890020232,1.98885953873479,2.88623333444626,2.3686578165972,2987.72087381059,1695965.70125111,25093764.208136,504303964.14918,2233727142.22011,54.6600482419344,1302.29247915017,5009.36764553531,22456.7131198931,47262.3226494436,12000000,0,56,0
13804.7087503357,13804.7197102922,13804.7082560467,19468.4552547113,19518.027796704,19514.191705919,13891.805566451,13891.8165971173,13891.805070719,1.41027642138686,1.41386628677091,1.4135895771192,11049757.4300566,16356987.5451645,37830081.4187365,0.00410493975498009,0.0507461310242075,0.0504113217703572,0.993402270338781,125471.212555614,40998217.1854251,394635812.519731,5049224764.9126,17872688228.4789,77631.88291917,19682951.5008269,115432756.165071,4040772559.03886,26542762871.5782,6622.80758101984,4203516.11879093,205332459.104727,2308085631.0133,26139090036.4854,2.4042759270099,2.3623100296618,1.98886198745625,2.88623326427944,2.36865787415927,2987.37861636951,1695958.14702214,25093732.2567137,504304076.07175,2233726981.49734,54.6569173698033,1302.28957878889,5009.36445636707,22456.7156118554,47262.320949117,12000000,0,56,0
13804.7084882331,13804.7177484953,13804.7082049399,19468.4512743973,19518.0257621323,19514.1953756369,13891.8053027767,13891.8146229895,13891.8050192888,1.41027615983285,1.41386634031396,1.41358984818339,8087141.49965977,4500680.09332961,10902997.1870124,0.0119660138477598,0.0882726956929244,0.147551175997195,1.67153812216728,125485.521181466,40998404.1875195,394636404.79424,5049223435.50728,17872689470.0681,77638.4728124562,19683055.0384617,115433202.932552,4040769184.42685,26542760884.4022,6624.69824344529,4203517.1152551,205332518.24851,2308085158.16621,26139089183.8671,2.40428872969941,2.36230849973821,1.98886027321736,2.88623328080777,2.36865781220712,2987.71865112401,1695966.00094948,25093767.8090394,504303942.575347,2233727136.71409,54.6600279100186,1302.29259421586,5009.36800495226,22456.7126395505,47262.322591194,12000000,0,56,0
13804.7085147604,13804.7176596004,13804.7083574441,19468.4459816601,19518.0142962263,19514.1953756369,13891.805329545,13891.8145335836,13891.805172743,1.41027577372198,1.41386551883968,1.41358983256709,11926453.6567358,7864566.87627084,10475139.7138183,0.0124311792465949,0.105879985605775,0.0420848460496019,0.397476877323134,125485.53020572,40998400.7150183,394636366.957548,5049224475.44722,17872687428.0314,77638.5788742888,19683054.1682999,115433111.319065,4040772794.41371,26542755780.8822,6624.70709067521,4203517.41041275,205332511.001452,2308085675.79126,26139091355.2993,2.40429050524855,2.36230874823823,1.98885975514362,2.88623321182933,2.36865784168698,2987.71883403694,1695965.91087781,25093766.6480453,504304047.384879,2233726881.31515,54.6600295832058,1302.2925596339,5009.36788906997,22456.7149731406,47262.3198892643,12000000,0,56,0
13804.709013607,13804.7199261881,13804.7080207377,19468.4423227287,19518.0142013126,19514.1923886106,13891.805831604,13891.8168144957,13891.8048339167,1.41027545771078,1.41386527982261,1.41358965066816,10884247.5732331,22163209.5934881,21117137.7866174,0.000272918354720392,0.0501273541076128,0.0515583638733999,1.02854748253249,125487.672357107,40998368.7261863,394636668.790074,5049224511.78888,17872689217.7008,77639.6119218422,19683029.0223178,115433092.097754,4040772516.26905,26542763563.9227,6625.2888512287,4203522.72415205,205332672.861132,2308085450.25179,26139089733.5397,2.40430780870256,2.36230890936182,1.98885894544922,2.88623332252957,2.36865784894533,2987.770127787,1695964.53696664,25093783.5909436,504304051.041882,2233727104.58381,54.6604987883114,1302.29203213666,5009.36958019107,22456.715054564,47262.3222512797,12000000,0,56,0
13804.711080596,13804.845143057,13804.9110554416,19468.4736377561,19518.0230906104,19514.2149425075,13891.8079098732,13891.9428218484,13892.0091467969,1.41027751497973,1.41385309928136,1.41357049416232,250471.11786767,129996.40463282,85669.6921232005,0.0358281757671122,6.34061398717384,6.76230546980466,1.06650641144278,126869.425105348,40989747.4156959,394743715.866326,5049268891.5766,17872700135.7105,75901.9972660786,19688595.5614017,115346158.166643,4040755746.86527,26542798908.9456,7611.11097575462,4200225.34455435,205528255.853026,2308202419.06994,26139179680.4676,2.40730205536564,2.36245296218364,1.98863340212619,2.88624837673916,2.36866521501513,3020.63246479408,1695644.27975072,25100558.9782358,504308780.821564,2233728334.46333,54.960280792533,1302.16906726842,5010.04580600176,22456.8203631227,47262.3352624828,12000000,0,57,0
13804.7086810602,13804.7205978986,13804.7080802612,19468.4693577251,19518.0263884988,19514.2126739395,13891.8054964738,13891.8174903593,13891.8048936638,1.41027745007292,1.41386609385415,1.41359111402306,13031303.2470634,7438464.05405459,4590453.37772216,0.014291871270795,0.124566080083505,0.115385614728191,0.926300439500384,125485.597225149,40998397.2139039,394636359.121369,5049223604.96206,17872689272.5474,77639.0120917753,19683034.8272673,115432979.84191,4040771036.72709,26542766653.3029,6624.95187027778,4203510.20421707,205332498.648549,2308085536.23211,26139092514.5525,2.40428829794276,2.362308571501,1.98885980956726,2.88623334954879,2.36865782755907,2987.72113969473,1695965.48346946,25093764.9056501,504303960.177226,2233727111.94828,54.6600506740959,1302.29239553545,5009.36771515628,22456.7130314573,47262.3223291903,12000000,0,57,0
13804.7086924828,13804.7204786776,13804.7083422611,19468.46634152,19518.0263884988,19514.2041465285,13891.8055080356,13891.8173703697,13891.8051573663,1.41027723041496,1.41386610606465,1.4135904694769,11017552.3994846,15573851.3219703,32432058.5641333,0.019876766085972,0.0384049604973509,0.0595137425786055,1.54963686481881,125467.375447773,40998234.7222333,394635475.281097,5049224617.51028,17872688174.29,77620.2626079336,19683006.9130683,115432216.9482,4040772490.40607,26542763045.6273,6622.75816355159,4203514.19609166,205332450.507442,2308085600.91178,26139090704.4605,2.40426725857907,2.36230965177918,1.98886270251444,2.88623321763205,2.3686578505429,2987.28733747227,1695958.77388775,25093710.9367866,504304060.434723,2233726975.16749,54.6560823465446,1302.28981946714,5009.36232835942,22456.7152636961,47262.3208821519,12000000,0,57,0
13804.708922118,13804.7199989878,13804.707928831,19468.4621805554,19518.0243770818,19514.2020730604,13891.8057391952,13891.8168876675,13891.8047413453,1.4102769055393,1.41386600948899,1.41359036161172,10533467.4310815,20895600.036778,20542069.2864435,0.00309291803702907,0.049736830194325,0.0554559801189041,1.11498822707908,125485.692961081,40998400.1082391,394636338.805767,5049224422.08767,17872689253.2757,77638.7291067849,19683060.17069,115433053.595358,4040772597.2827,26542763980.2743,6625.05730677316,4203541.56875323,205332675.306241,2308085435.45376,26139089340.7835,2.40430281121976,2.362308626747,1.98885959211828,2.88623327825823,2.36865783812434,2987.72303856636,1695965.76427228,25093762.6257585,504304041.12844,2233727109.57325,54.6600680439236,1302.29250334642,5009.36748759347,22456.7148338407,47262.3223040642,12000000,0,57,0
13804.7087383544,13804.7196982348,13804.7081985203,19468.4580873448,19518.027796704,19514.2000168256,13891.8055543329,13891.8165849996,13891.8050127857,1.41027662780414,1.41386628800581,1.41359018504407,13354695.9605599,7171680.74832217,4729340.43327359,0.00388063311287021,0.107057408277294,0.129939261884817,1.21373442506898,125485.589188655,40998400.9389229,394636337.857983,5049223649.5046,17872689514.7882,77638.8683082164,19683062.8279841,115433037.136768,4040771561.09791,26542762591.6285,6624.87596112006,4203511.22419111,205332524.963071,2308085612.52759,26139093082.5445,2.40429278008312,2.36230890020232,1.98885953873479,2.88623333444626,2.3686578165972,2987.72087381059,1695965.70125111,25093764.208136,504303964.14918,2233727142.22011,54.6600482419344,1302.29247915017,5009.36764553531,22456.7131198931,47262.3226494436,12000000,0,57,0
13804.7087503357,13804.7197102922,13804.7082560467,19468.4552547113,19518.027796704,19514.191705919,13891.805566451,13891.8165971173,13891.805070719,1.41027642138686,1.41386628677091,1.4135895771192,11049757.4300566,16356987.5451645,37830081.4187365,0.00410493975498009,0.0507461310242075,0.0504113217703572,0.993402270338781,125471.212555614,40998217.1854251,394635812.519731,5049224764.9126,17872688228.4789,77631.88291917,19682951.5008269,115432756.165071,4040772559.03886,26542762871.5782,6622.80758101984,4203516.11879093,205332459.104727,2308085631.0133,26139090036.4854,2.4042759270099,2.3623100296618,1.98886198745625,2.88623326427944,2.36865787415927,2987.37861636951,1695958.14702214,25093732.2567137,504304076.07175,2233726981.49734,54.6569173698033,1302.28957878889,5009.36445636707,22456.7156118554,47262.320949117,12000000,0,57,0
13804.7084882331,13804.7177484953,13804.7082049399,19468.4512743973,19518.0257621323,19514.1953756369,13891.8053027767,13891.8146229895,13891.8050192888,1.41027615983285,1.41386634031396,1.41358984818339,8087141.49965977,4500680.09332961,10902997.1870124,0.0119660138477598,0.0882726956929244,0.147551175997195,1.67153812216728,125485.521181466,40998404.1875195,394636404.79424,5049223435.50728,17872689470.0681,77638.4728124562,19683055.0384617,115433202.932552,4040769184.42685,26542760884.4022,6624.69824344529,4203517.1152551,205332518.24851,2308085158.16621,26139089183.8671,2.40428872969941,2.36230849973821,1.98886027321736,2.88623328080777,2.36865781220712,2987.71865112401,1695966.00094948,25093767.8090394,504303942.575347,2233727136.71409,54.6600279100186,1302.29259421586,5009.36800495226,22456.7126395505,47262.322591194,12000000,0,57,0
13804.7085147604,13804.7176596004,13804.7083574441,19468.4459816601,19518.0142962263,19514.1953756369,13891.805329545,13891.8145335836,13891.805172743,1.41027577372198,1.41386551883968,1.41358983256709,11926453.6567358,7864566.87627084,10475139.7138183,0.0124311792465949,0.105879985605775,0.0420848460496019,0.397476877323134,125485.53020572,40998400.7150183,394636366.957548,5049224475.44722,17872687428.0314,77638.5788742888,19683054.1682999,115433111.319065,4040772794.41371,26542755780.8822,6624.70709067521,4203517.41041275,205332511.001452,2308085675.79126,26139091355.2993,2.40429050524855,2.36230874823823,1.98885975514362,2.88623321182933,2.36865784168698,2987.71883403694,1695965.91087781,25093766.6480453,504304047.384879,2233726881.31515,54.6600295832058,1302.2925596339,5009.36788906997,22456.7149731406,47262.3198892643,12000000,0,57,0
13804.709013607,13804.7199261881,13804.7080207377,19468.4423227287,19518.0142013126,19514.1923886106,13891.805831604,13891.8168144957,13891.8048339167,1.41027545771078,1.41386527982261,1.41358965066816,10884247.5732331,22163209.5934881,21117137.7866174,0.000272918354720392,0.0501273541076128,0.0515583638733999,1.02854748253249,125487.672357107,40998368.7261863,394636668.790074,5049224511.78888,17872689217.7008,77639.6119218422,19683029.0223178,115433092.097754,4040772516.26905,26542763563.9227,6625.2888512287,4203522.72415205,205332672.861132,2308085450.25179,26139089733.5397,2.40430780870256,2.36230890936182,1.98885894544922,2.88623332252957,2.36865784894533,2987.770127787,1695964.53696664,25093783.5909436,504304051.041882,2233727104.58381,54.6604987883114,1302.29203213666,5009.36958019107,22456.715054564,47262.3222512797,12000000,0,57,0
13804.711080596,13804.845143057,13804.9110554416,19468.4736377561,19518.0230906104,19514.2149425075,13891.8079098732,13891.9428218484,13892.0091467969,1.41027751497973,1.41385309928136,1.41357049416232,250471.11786767,129996.40463282,85669.6921232005,0.0358281757671122,6.34061398717384,6.76230546980466,1.06650641144278,126869.425105348,40989747.4156959,394743715.866326,5049268891.5766,17872700135.7105,75901.9972660786,19688595.5614017,115346158.166643,4040755746.86527,26542798908.9456,7611.11097575462,4200225.34455435,205528255.853026,2308202419.06994,26139179680.4676,2.40730205536564,2.36245296218364,1.98863340212619,2.88624837673916,2.36866521501513,3020.63246479408,1695644.27975072,25100558.9782358,504308780.821564,2233728334.46333,54.960280792533,1302.16906726842,5010.04580600176,22456.8203631227,47262.3352624828,12000000,0,58,0
13804.7086810602,13804.7205978986,13804.7080802612,19468.4693577251,19518.0263884988,19514.2126739395,13891.8054964738,13891.8174903593,13891.8048936638,1.41027745007292,1.41386609385415,1.41359111402306,13031303.2470634,7438464.05405459,4590453.37772216,0.014291871270795,0.124566080083505,0.115385614728191,0.926300439500384,125485.597225149,40998397.2139039,394636359.121369,5049223604.96206,17872689272.5474,77639.0120917753,19683034.8272673,115432979.84191,4040771036.72709,26542766653.3029,6624.95187027778,4203510.20421707,205332498.648549,2308085536.23211,26139092514.5525,2.40428829794276,2.362308571501,1.98885980956726,2.88623334954879,2.36865782755907,2987.72113969473,1695965.48346946,25093764.9056501,504303960.177226,2233727111.94828,54.6600506740959,1302.29239553545,5009.36771515628,22456.7130314573,47262.3223291903,12000000,0,58,0
13804.7086924828,13804.7204786776,13804.7083422611,19468.46634152,19518.0263884988,19514.2041465285,13891.8055080356,13891.8173703697,13891.8051573663,1.41027723041496,1.41386610606465,1.4135904694769,11017552.3994846,15573851.3219703,32432058.5641333,0.019876766085972,0.0384049604973509,0.0595137425786055,1.54963686481881,125467.375447773,40998234.7222333,394635475.281097,5049224617.51028,17872688174.29,77620.2626079336,19683006.9130683,115432216.9482,4040772490.40607,26542763045.6273,6622.75816355159,4203514.19609166,205332450.507442,2308085600.91178,26139090704.4605,2.40426725857907,2.36230965177918,1.98886270251444,2.88623321763205,2.3686578505429,2987.28733747227,1695958.77388775,25093710.9367866,504304060.434723,2233726975.16749,54.6560823465446,1302.28981946714,5009.36232835942,22456.7152636961,47262.3208821519,12000000,0,58,0
13804.708922118,13804.7199989878,13804.707928831,19468.4621805554,19518.0243770818,19514.2020730604,13891.8057391952,13891.8168876675,13891.8047413453,1.4102769055393,1.41386600948899,1.41359036161172,10533467.4310815,20895600.036778,20542069.2864435,0.00309291803702907,0.049736830194325,0.0554559801189041,1.11498822707908,125485.692961081,40998400.1082391,394636338.805767,5049224422.08767,17872689253.2757,77638.7291067849,19683060.17069,115433053.595358,4040772597.2827,26542763980.2743,6625.05730677316,4203541.56875323,205332675.306241,2308085435.45376,26139089340.7835,2.40430281121976,2.362308626747,1.98885959211828,2.88623327825823,2.36865783812434,2987.72303856636,1695965.76427228,25093762.6257585,504304041.12844,2233727109.57325,54.6600680439236,1302.29250334642,5009.36748759347,22456.7148338407,47262.3223040642,12000000,0,58,0
13804.7087383544,13804.7196982348,13804.7081985203,19468.4580873448,19518.027796704,19514.2000168256,13891.8055543329,13891.8165849996,13891.8050127857,1.41027662780414,1.41386628800581,1.41359018504407,13354695.9605599,7171680.74832217,4729340.43327359,0.00388063311287021,0.107057408277294,0.129939261884817,1.21373442506898,125485.589188655,40998400.9389229,394636337.857983,5049223649.5046,17872689514.7882,77638.8683082164,19683062.8279841,115433037.136768,4040771561.09791,26542762591.6285,6624.87596112006,4203511.22419111,205332524.963071,2308085612.52759,26139093082.5445,2.40429278008312,2.36230890020232,1.98885953873479,2.88623333444626,2.3686578165972,2987.72087381059,1695965.70125111,25093764.208136,504303964.14918,2233727142.22011,54.6600482419344,1302.29247915017,5009.36764553531,22456.7131198931,47262.3226494436,12000000,0,58,0
13804.7087503357,13804.7197102922,13804.7082560467,19468.4552547113,19518.027796704,19514.191705919,13891.805566451,13891.8165971173,13891.805070719,1.41027642138686,1.41386628677091,1.4135895771192,11049757.4300566,16356987.5451645,37830081.4187365,0.00410493975498009,0.0507461310242075,0.0504113217703572,0.993402270338781,125471.212555614,40998217.1854251,394635812.519731,5049224764.9126,17872688228.4789,77631.88291917,19682951.5008269,115432756.165071,4040772559.03886,26542762871.5782,6622.80758101984,4203516.11879093,205332459.104727,2308085631.0133,26139090036.4854,2.4042759270099,2.3623100296618,1.98886198745625,2.88623326427944,2.36865787415927,2987.37861636951,1695958.14702214,25093732.2567137,504304076.07175,2233726981.49734,54.6569173698033,1302.28957878889,5009.36445636707,22456.7156118554,47262.320949117,12000000,0,58,0
13804.7084882331,13804.7177484953,13804.7082049399,19468.4512743973,19518.0257621323,19514.1953756369,13891.8053027767,13891.8146229895,13891.8050192888,1.41027615983285,1.41386634031396,1.41358984818339,8087141.49965977,4500680.09332961,10902997.1870124,0.0119660138477598,0.0882726956929244,0.147551175997195,1.67153812216728,125485.521181466,40998404.1875195,394636404.79424,5049223435.50728,17872689470.0681,77638.4728124562,19683055.0384617,115433202.932552,4040769184.42685,26542760884.4022,6624.69824344529,4203517.1152551,205332518.24851,2308085158.16621,26139089183.8671,2.40428872969941,2.36230849973821,1.98886027321736,2.88623328080777,2.36865781220712,2987.71865112401,1695966.00094948,25093767.8090394,504303942.575347,2233727136.71409,54.6600279100186,1302.29259421586,5009.36800495226,22456.7126395505,47262.322591194,12000000,0,58,0
13804.7085147604,13804.7176596004,13804.7083574441,19468.4459816601,19518.0142962263,19514.1953756369,13891.805329545,13891.8145335836,13891.805172743,1.41027577372198,1.41386551883968,1.41358983256709,11926453.6567358,7864566.87627084,10475139.7138183,0.0124311792465949,0.105879985605775,0.0420848460496019,0.397476877323134,125485.53020572,40998400.7150183,394636366.957548,5049224475.44722,17872687428.0314,77638.5788742888,19683054.1682999,115433111.319065,4040772794.41371,26542755780.8822,6624.70709067521,4203517.41041275,205332511.001452,2308085675.79126,26139091355.2993,2.40429050524855,2.36230874823823,1.98885975514362,2.88623321182933,2.36865784168698,2987.71883403694,1695965.91087781,25093766.6480453,504304047.384879,2233726881.31515,54.6600295832058,1302.2925596339,5009.36788906997,22456.7149731406,47262.3198892643,12000000,0,58,0
13804.709013607,13804.7199261881,13804.7080207377,19468.4423227287,19518.0142013126,19514.1923886106,13891.805831604,13891.8168144957,13891.8048339167,1.41027545771078,1.41386527982261,1.41358965066816,10884247.5732331,22163209.5934881,21117137.7866174,0.000272918354720392,0.0501273541076128,0.0515583638733999,1.02854748253249,125487.672357107,40998368.7261863,394636668.790074,5049224511.78888,17872689217.7008,77639.6119218422,19683029.0223178,115433092.097754,4040772516.26905,26542763563.9227,6625.2888512287,4203522.72415205,205332672.861132,2308085450.25179,26139089733.5397,2.40430780870256,2.36230890936182,1.98885894544922,2.88623332252957,2.36865784894533,2987.770127787,1695964.53696664,25093783.5909436,504304051.041882,2233727104.58381,54.6604987883114,1302.29203213666,5009.36958019107,22456.715054564,47262.3222512797,12000000,0,58,0
13804.711080596,13804.845143057,13804.9110554416,19468.4736377561,19518.0230906104,19514.2149425075,13891.8079098732,13891.9428218484,13892.0091467969,1.41027751497973,1.41385309928136,1.41357049416232,250471.11786767,129996.40463282,85669.6921232005,0.0358281757671122,6.34061398717384,6.76230546980466,1.06650641144278,126869.425105348,40989747.4156959,394743715.866326,5049268891.5766,17872700135.7105,75901.9972660786,19688595.5614017,115346158.166643,4040755746.86527,26542798908.9456,7611.11097575462,4200225.34455435,205528255.853026,2308202419.06994,26139179680.4676,2.40730205536564,2.36245296218364,1.98863340212619,2.88624837673916,2.36866521501513,3020.63246479408,1695644.27975072,25100558.9782358,504308780.821564,2233728334.46333,54.960280792533,1302.16906726842,5010.04580600176,22456.8203631227,47262.3352624828,12000000,0,59,0
13804.7086810602,13804.7205978986,13804.7080802612,19468.4693577251,19518.0263884988,19514.2126739395,13891.8054964738,13891.8174903593,13891.8048936638,1.41027745007292,1.41386609385415,1.41359111402306,13031303.2470634,7438464.05405459,4590453.37772216,0.014291871270795,0.124566080083505,0.115385614728191,0.926300439500384,125485.597225149,40998397.2139039,394636359.121369,5049223604.96206,17872689272.5474,77639.0120917753,19683034.8272673,115432979.84191,4040771036.72709,26542766653.3029,6624.95187027778,4203510.20421707,205332498.648549,2308085536.23211,26139092514.5525,2.40428829794276,2.362308571501,1.98885980956726,2.88623334954879,2.36865782755907,2987.72113969473,1695965.48346946,25093764.9056501,504303960.177226,2233727111.94828,54.6600506740959,1302.29239553545,5009.36771515628,22456.7130314573,47262.3223291903,12000000,0,59,0
13804.7086924828,13804.7204786776,13804.7083422611,19468.46634152,19518.0263884988,19514.2041465285,13891.8055080356,13891.8173703697,13891.8051573663,1.41027723041496,1.41386610606465,1.4135904694769,11017552.3994846,15573851.3219703,32432058.5641333,0.019876766085972,0.0384049604973509,0.0595137425786055,1.54963686481881,125467.375447773,40998234.7222333,394635475.281097,5049224617.51028,17872688174.29,77620.2626079336,19683006.9130683,115432216.9482,4040772490.40607,26542763045.6273,6622.75816355159,4203514.19609166,205332450.507442,2308085600.91178,26139090704.4605,2.40426725857907,2.36230965177918,1.98886270251444,2.88623321763205,2.3686578505429,2987.28733747227,1695958.77388775,25093710.9367866,504304060.434723,2233726975.16749,54.6560823465446,1302.28981946714,5009.36232835942,22456.7152636961,47262.3208821519,12000000,0,59,0
